Report Status,pilot,crew,engine,weather,runway,manufacturer,probable,foreign,factual
The flight instructor and student pilots failure to properly manage the airplanes available fuel resulting in fuel starvation. ,1,0,0,0,0,0,0,0,0
"The flight instructor did not maintain a proper approach path and landing flare during a landing with a tailwind, which resulted in a hard landing and damaged landing gear. During the subsequent landing with damaged landing gear, the flight instructor lost directional control which resulted in a runway excursion and collision with objects.",0,0,0,0,1,0,0,0,0
"The flight instructor did not maintain aircraft control while maneuvering at low altitude. Contributing to the accident was the inadvertent application of the choke, which resulted in a momentary interruption of engine power.",0,0,1,0,0,0,0,0,0
The flight instructor's  delayed decision to instruct the pilot to abort the landing which resulted in  a runway excursion and collision with a fence. ,1,0,0,0,1,0,0,0,0
The flight instructor's and pilot receiving instruction's failure to maintain clearance from a tree while taxiing.,1,0,0,0,0,0,0,0,0
"The flight instructor's and pilot's failure to recognize that a high descent rate had developed on short final, likely due to their distraction by an open engine cowling, and the unexpected strong pitch-down force during flap extension due to the installation in the airplane of a Short Takeoff and Landing system.",1,0,1,0,0,0,0,0,0
"The flight instructor's and student pilot's excessive application of brakes during an aborted takeoff, which resulted in a noseover.",1,0,0,0,0,0,0,0,0
"The flight instructor's and student pilot's inadequate preflight inspection of the fuel system for water contamination, which resulted in a loss of engine power during takeoff and subsequent forced landing.
",1,0,1,0,0,0,0,0,0
"The flight instructor's and the evaluator's failure to divert at an appropriate time during cruise flight, which resulted in the airplane's inability to maintain a sufficient altitude to clear rising terrain. Contributing to the accident was the flight evaluator's decision to allow the student pilot to plan for and execute a hazardous flight at an inappropriate altitude considering the terrain in high-density altitude conditions.",1,0,0,0,0,0,0,0,0
"The flight instructor's attempted takeoff in gusting wind conditions while the student pilot was adjusting her anti-torque pedals, which resulted in a dynamic rollover event.",1,0,0,0,0,0,0,0,0
"The flight instructor's decision to attempt takeoff with an engine discrepancy and subsequent failure to abort takeoff when the airplane did not attain adequate airspeed during the initial climb, resulting in an aerodynamic stall. Contributing to the accident was the partial loss of engine power.",0,0,1,0,0,0,0,0,0
"The flight instructor's decision to continue flight into the area of reduced visibility and the pilots subsequent failure to maintain clearance from the hilly terrain while operating in an area of low ceilings, rain, and fog.",1,0,0,0,0,0,0,0,0
"The flight instructor's decision to exit the airplane on the taxiway with the engine still operating, and his failure to avoid the rotating propeller.",0,0,1,0,0,0,0,0,0
"The flight instructor's decision to land the airplane without sufficient runway to stop, resulting in a runway excursion and substantial damage to the right wing of the airplane.",0,0,0,0,1,0,0,0,0
"The flight instructor's decision to turn the fuel selector to the off position and his delayed remedial actions to restart the engine, which resulted in fuel starvation and a subsequent forced landing.",0,0,1,0,0,0,0,0,0
"The flight instructor's delay in aborting the takeoff from a turf runway, which resulted in a runway overrun.",0,0,0,0,1,0,0,0,0
"The flight instructor's delayed decision to abort the takeoff from a wet, grass runway with insufficient runway remaining, which resulted in a runway overrun and the airplane going down an embankment.

",0,0,0,0,1,0,0,0,0
The flight instructor's delayed decision to take control of the airplane and execute a missed approach. Contributing to the accident was the lack of communication between the certificated flight instructor and the pilot receiving instruction.,1,0,0,0,0,0,0,0,0
The flight instructor's delayed reaction in taking control of the helicopter during a student pilot's loss of control while landing.,1,0,0,0,0,0,0,0,0
"The flight instructor's delayed remedial action and his failure to remain vigilant as the helicopter entered the weathercock stability region, in gusting wind conditions, resulting in loss of tail rotor effectiveness and ground impact.",0,0,0,1,0,0,0,0,0
"The flight instructor's delayed remedial action during a power-off approach and go-around in gusting wind conditions, which resulted in a hard landing, loss of directional control, and a runway excursion onto a field.

",0,0,0,0,1,0,0,0,0
"The flight instructor's delayed remedial action during a simulated engine failure on takeoff, which resulted in a loss of directional control.",0,0,1,0,0,0,0,0,0
The flight instructor's delayed remedial action during the pilot-receiving-instruction's practice autorotation that developed a high rate of descent. Contributing to the accident was the pilot-receiving-instruction's improper control inputs during the practice autorotation.,1,0,0,0,0,0,0,0,0
"The flight instructor's delayed remedial action in response to the student pilot's improper go-around, which resulted in the airplane exceeding its critical angle of attack, experiencing an aerodynamic stall, and impacting a parked airplane.",1,0,0,0,0,0,0,0,0
"The flight instructor's delayed remedial action to maintain helicopter altitude during hover flight instruction, which resulted in the helicopter skid contacting a crack in the runway and a dynamic rollover.

 
",0,0,0,0,1,0,0,0,0
"The flight instructor's delayed remedial action to prevent a stall at an altitude that was too low to recover. Contributing to the accident was the owner/non-certificated pilot's failure to maintain control of the airplane, which resulted in an accelerated aerodynamic stall.",1,0,0,0,0,0,0,0,0
"The flight instructor's delayed remedial action, which resulted in an exceedance of the airplane's critical angle of attack and an aerodynamic stall and loss of control. Contributing to the accident was the student pilot's failure to maintain runway alignment on approach.",1,0,0,0,1,0,0,0,0
"The flight instructor's failure to adequately brief and demonstrate the simulated emergency procedure to the pilot under instruction and his delayed remedial action and inadequate supervision during the maneuver, which resulted in an excessive sink rate and a hard landing.
",1,0,0,0,0,0,0,0,0
"The flight instructor's failure to adequately monitor the landing approach, his delayed corrective action and his failure to maintain directional control that resulted in the airplane's collision with a ditch adjacent to the runway. The student pilot's failure to maintain a proper glidepath contributed to the accident.",1,0,0,0,1,0,0,0,0
"The flight instructor's failure to completely and properly evaluate the student pilot's incorrectly- planned flight, and his failure to use all available resources to maintain situation awareness during the flight, which resulted in controlled flight into terrain.",1,0,0,0,0,0,0,0,0
The flight instructor's failure to conduct an autorotation following the loss of engine power due to fuel exhaustion. Contributing to the accident was the failure of the flight instructor and the student pilot to visually check fuel levels to ensure adequate fuel on board for the planned flight.,1,0,1,0,0,0,0,0,0
The flight instructor's failure to correct for proper runway alignment during final approach and his failure to maintain aircraft control during his subsequent go-around.  Contributing to the accident was the dual-student's failure to properly align with the runway centerline during final approach and the dark night.,0,0,0,0,1,0,0,0,0
"The flight instructor's failure to correct the student pilot's approach path during the final approach, which resulted in a collision with runway threshold lights. Contributing to the accident was the student pilot's failure to attain and maintain the recommended approach path.",1,0,0,0,1,0,0,0,0
"The flight instructor's failure to ensure that adequate clearance from terrain was maintained after performance of a simulated engine failure maneuver, which resulted in controlled flight into terrain.",0,0,1,0,0,0,0,0,0
"The flight instructor's failure to ensure that carburetor heat was used while performing maneuvers at reduced power settings in conditions conducive to the formation of carburetor ice, which resulted in a partial loss of engine power due to carburetor ice. Also causal was the flight instructor's failure to secure the engine before landing, which resulted in a sudden increase of engine power and an aerodynamic stall at a low altitude.",0,0,1,0,0,0,0,0,0
"The flight instructor's failure to ensure that the airplane's fuel system was free of water contamination before departing, which resulted in a total loss of engine power and subsequent forced landing.",0,0,1,0,0,0,0,0,0
The flight instructor's failure to execute a missed approach when insufficient runway remained for landing. Contributing to the accident were the low ceiling and visibility conditions.,0,0,0,0,1,0,0,0,0
"The flight instructor's failure to go-around and the subsequent long landing and his failure to maintain directional control, which resulted in a runway excursion.",0,0,0,0,1,0,0,0,0
The flight instructor's failure to maintain aircraft control while maneuvering during a simulated engine failure. Contributing to the accident was the flight instructor's lack of total experience as a multiengine flight instructor.,0,0,1,0,0,0,0,0,0
"The flight instructor's failure to maintain airplane control during the initial climb as a result of the airplane being loaded above its maximum gross weight and beyond its aft center of gravity limits. Contributing to the accident was a degraded engine power output due to a preexisting engine cylinder intake valve spring failure, which further reduced the airplane's climb capability.

 

 

 

 
",0,0,1,0,0,0,0,0,0
The flight instructor's failure to maintain airplane control while demonstrating a simulated engine failure. Contributing to the accident was the pilot's improper response to the simulated engine failure.,1,0,1,0,0,0,0,0,0
"The flight instructor's failure to maintain airspeed above the air minimum control airspeed (Vmca), which resulted in a loss of control and impact with terrain. Contributing to the accident was the instructor's failure to follow published procedures to retract the landing gear and maintain 85 knots minimum airspeed during the one-engine-inoperative go-around maneuver.",0,0,1,0,0,0,0,0,0
"The flight instructor's failure to maintain airspeed following a partial loss of engine power for reasons that could not be determined during postaccident examination, which resulted in an aerodynamic stall and subsequent loss of airplane control.",0,0,1,0,0,0,0,0,0
"The flight instructor's failure to maintain an appropriate approach speed in crosswind conditions, which resulted in the airplane landing long on the wet runway and his subsequent loss of directional control when he attempted to exit the runway at high speed onto a taxiway, which resulted in the airplane subsequently colliding with three airplanes on the ramp.",0,0,0,0,1,0,0,0,0
The flight instructor's failure to maintain clearance from terrain while correcting for the student pilot's failure to maintain directional control of the helicopter.,1,0,0,0,0,0,0,0,0
"The flight instructor's failure to maintain directional control during an aborted landing, which resulted in a runway excursion and collision with a taxiway sign.",0,0,0,0,1,0,0,0,0
"The flight instructor's failure to maintain directional control during landing in gusting crosswind conditions, which resulted in a runway excursion and nose-over.
",0,0,0,0,1,0,0,0,0
"The flight instructor's failure to maintain directional control during the landing roll, which resulted in a runway excursion and a collision with runway signage during the subsequent attempted aborted landing.

",0,0,0,0,1,0,0,0,0
"The flight instructor's failure to maintain pitch control during the simulated engine failure after takeoff, which resulted in a hard landing, landing gear(s) collapse, and wing damage.",0,0,1,0,0,0,0,0,0
"The flight instructor's failure to maintain the appropriate glidepath to the runway, which resulted in a collision with trees and terrain during final approach.",0,0,0,0,1,0,0,0,0
"The flight instructor's failure to maintain the runway heading during an attempted takeoff in gusting crosswind conditions, which resulted in a collision with trees.

",0,0,0,0,1,0,0,0,0
"The flight instructor's failure to monitor the available fuel supply, which resulted in a loss of engine power due to fuel exhaustion.",0,0,1,0,0,0,0,0,0
"The flight instructor's failure to monitor the simulated emergency procedure, resulting in a hard landing. Contributing to the accident was the intentional throttle application by one of the flightcrew.",0,1,0,0,0,0,0,0,0
"The flight instructor's failure to perform a go-around during final approach, which resulted in an aerodynamic stall and a hard landing. Contributing to the accident was the flight instructor's failure to brief the student pilot on the positive transfer of aircraft control during preflight.",1,0,0,0,0,0,0,0,0
"The flight instructor's failure to perform simulated engine failure training in accordance with manufacturer guidance, including his improper recovery from the maneuver, which resulted in an overshoot of the intended landing zone when the engine did not respond as expected; his selection of an unsuitable landing area; and his decision to perform the maneuver near the helicopter's maximum gross weight, which resulted in a hard landing.",0,0,1,0,0,1,0,0,0
"The flight instructor's failure to prevent the engine/rotor overspeed condition during the demonstration maneuver and the excessive descent rate during the emergency landing, which resulted in a hard landing. Contributing to the engine/rotor overspeed condition was the flight instructor's failure to comply with the demonstration procedure.",0,0,1,0,0,0,0,0,0
The flight instructor's failure to recognize or implement adequate remedial action to counter the effects of spatial disorientation. Contributing to the accident was the spatial disorientation experienced by one or both pilots.,1,0,0,0,0,0,0,0,0
"The flight instructor's failure to retract the flaps during an attempted go-around and his failure to maintain the runway heading, which resulted in a collision with terrain left of the runway.  

",0,0,0,0,1,0,0,0,0
"The flight instructor's failure to verify the fuel level, which resulted in a total loss of engine power due to fuel exhaustion and a subsequent forced landing and collision with a power line pole. Contributing to the accident was the student pilot's inadequate preflight fuel planning.

",1,0,1,0,0,0,0,0,0
"The flight instructor's improper collective input during a simulated engine failure autorotation with a power recovery, which resulted in a hard, bounced landing and the main rotor blade striking the tailboom.",0,0,1,0,0,0,0,0,0
"The flight instructor's improper decision to instruct the student pilot to establish a hover and reposition the helicopter with a tailwind, which resulted in the student pilot's loss of pitch control. ",1,0,0,0,0,0,0,0,0
"The flight instructor's improper emergency procedure instruction to the student pilot, which resulted in the student improperly using the throttle to correct the loss of yaw control, which resulted in ground impact and a dynamic rollover.  ",1,0,0,0,0,0,0,0,0
"The flight instructor's improper recovery from a bounced landing, which resulted in a loss of airplane control. Contributing to the accident was the flight instructor's inadequate supervision of the student pilot.",1,0,0,0,0,0,0,0,0
The flight instructor's improper remedial action following the student pilot's loss of control. Contributing to the accident was the student pilot's loss of control.,1,0,0,0,0,0,0,0,0
"The flight instructor's inaccurate fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.",0,0,1,0,0,0,0,0,0
"The flight instructor's inadequate attempted recovery from a bounced landing and the student pilot's abrupt use of the brakes, which resulted in the airplane nosing over.",1,0,0,0,0,0,0,0,0
"The flight instructor's inadequate compensation for the strong, gusting crosswind during landing.  Contributing to the accident was the flight instructor's decision to attempt flight with known adverse weather approaching the airport.",0,0,0,1,0,0,0,0,0
"The flight instructor's inadequate compensation for the wind conditions, and his inadequate supervision of the student pilot. Factors contributing to the accident were a sudden wind shift and wind gusts.",1,0,0,0,0,0,0,0,0
The flight instructor's inadequate evaluation of  the weather conditions. Contributing to the accident was an inadvertent stall/mush.,0,0,0,1,0,0,0,0,0
"The flight instructor's inadequate fuel management, which resulted in a total loss of engine power during initial climb due to fuel starvation and a subsequent forced landing.",0,0,1,0,0,0,0,0,0
"The flight instructor's inadequate in-flight fuel management, which resulted in a total loss of engine power due to fuel exhaustion.",0,0,1,0,0,0,0,0,0
"The flight instructor's inadequate preflight fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.",0,0,1,0,0,0,0,0,0
The flight instructor's inadequate preflight inspection of the fuel system resulting in a total loss of engine power due to fuel contamination.,0,0,1,0,0,0,0,0,0
"The flight instructor's inadequate preflight planning and his decision to take off with the airplane at a high gross weight in high temperature conditions that degraded the engines available power and his subsequent failure to maintain airspeed while attempting to return to the departure airport, which resulted in the airplane exceeding its critical angle-of-attack and experiencing an aerodynamic stall.",0,0,1,0,0,0,0,0,0
"The flight instructor's inadequate preflight planning, which resulted in a takeoff over maximum gross weight from a turf runway in highdensity altitude conditions and the airplanes inability to attain a climb rate and subsequent collision with trees.",0,0,0,0,1,0,0,0,0
"The flight instructor's inadequate remedial action and the student pilot's failure to maintain yaw control while practicing a stall, which resulted in an unintentional spin.",1,0,0,0,0,0,0,0,0
The flight instructor's inadequate remedial action following the student pilot's improper recovery from a bounced landing.,1,0,0,0,0,0,0,0,0
"The flight instructor's inadequate remedial action while conducting hover practice with a student pilot, which resulted in the helicopter rolling over when it contacted the ground.",1,0,0,0,0,0,0,0,0
The flight instructor's inadequate remedial action. Contributing to the accident was the student pilot's failure to maintain directional control during the landing roll.,1,0,0,0,0,0,0,0,0
"The flight instructor's inadequate supervision and lack of remedial action due to his diverted attention to a radio call, which resulted in the airplane landing short of the runway.",0,0,0,0,1,0,0,0,0
The flight instructor's inadequate supervision during a practice autorotation. Contributing to the accident was the pilot's hard landing during a practice autorotation.,1,0,0,0,0,0,0,0,0
"The flight instructor's inadequate supervision of the pilot during a simulated loss of engine power, and the pilot's failure to use carburetor heat while operating at a reduced engine power while in carburetor icing conditions.",1,0,1,0,0,0,0,0,0
"The flight instructor's inadequate supervision of the student pilot during a hovering autorotation, which resulted in a dynamic rollover.",1,0,0,0,0,0,0,0,0
"The flight instructor's inadequate supervision of the student pilot during a simulated autorotation and the pilots failure to use carburetor heat while operating at reduced engine power while in carburetor icing conditions, which resulted in a loss of engine power.",1,0,1,0,0,0,0,0,0
"The flight instructor's inadequate supervision of the student pilot during takeoff, which resulted in a collision with a power line.",1,0,0,0,0,0,0,0,0
"The flight instructor's inadequate supervision of the student pilot during takeoff, which resulted in a loss of control.",1,0,0,0,0,0,0,0,0
The flight instructor's inadequate supervision of the student pilot while taxiing for takeoff. A factor contributing to the accident was the student pilot's failure to maintain a visual lookout.,1,0,0,0,0,0,0,0,0
"The flight instructor's inadequate supervision of the student while landing, which resulted in a ground loop. Contributing to the accident was the student pilots failure to maintain directional control of the tailwheel-equipped airplane during the landing roll. 

            

 
",1,0,0,0,0,0,0,0,0
"The flight instructor's inadequate supervision of the student's soft-field takeoff, which resulted in an excessive pitch attitude, settling effect, and impact with a ditch off the end of the runway.",0,0,0,0,1,0,0,0,0
"The flight instructor's inadequate training and oversight of the student pilot, which resulted in the noncertificated student pilot's loss of control during landing.",1,0,0,0,0,0,0,0,0
"The flight instructor's inadvertent throttle reduction below idle, which resulted in a total loss of engine power and subsequent impact with terrain following a power-off autorotation. ",0,0,1,0,0,0,0,0,0
"The flight instructor's incorrect manipulations of the twist grip throttle control during a practice autorotation, which resulted in an engine overspeed and subsequent fire.",0,0,1,0,0,0,0,0,0
"The flight instructor's intentional overapplication of rudder to avoid a ditch during landing with a tailwind, which resulted in a runway excursion and landing gear collapse.",0,0,0,0,1,0,0,0,0
"The flight instructor's lack of action to correct a high and fast landing approach which resulted in a long landing, and subsequent collision with a snow berm at the end of the runway. Contributing to the accident was the student pilot's improper approach.",1,0,0,0,1,0,0,0,0
"The flight instructor's lack of remedial action to maintain directional control of the airplane during the landing roll, which resulted in a collision with a berm. Contributing to the accident was the pilot's failure to maintain aircraft control, and his lack of tailwheel experience.",1,0,0,0,0,0,0,0,0
"The flight instructor's loss of control of the helicopter during the intentional demonstration of a low speed, hydraulics-off maneuver, that was warned against in the helicopter manufacturer's flight manual.",0,0,0,0,0,1,0,0,0
"The flight instructor's misjudgment of the airplane's position and airspeed relative to the runway while returning to the airport after a partial loss of engine power. Contributing to the accident was the separation of the engine's No. 3 cylinder exhaust valve head from the stem, and the operators exceedence of the engine manufacturer's recommended time between overhauls.",0,0,1,0,1,1,0,0,0
"The flight instructor's misperception of the helicopter's altitude in relation to the runway surface during a low altitude maneuver, resulting in ground impact.",0,0,0,0,1,0,0,0,0
"The flight instructor's overpriming of the engine during start, which resulted in a carburetor fire. Contributing to the severity of accident was the flight instructor's failure to follow the Pilot Operating Handbook's engine fire during start emergency procedures.",1,0,1,0,0,0,0,0,0
"The flight instructor, while demonstrating a water landing to the pilot receiving instruction, did not maintain proper alignment with the landing surface, which resulted in a hard landing.",1,0,0,0,0,0,0,0,0
"The flight instructor/pilot's failure to recover from a bounced landing, which resulted in a hard landing and the subsequent collapse of the nose landing gear. Contributing to the accident was the flight instructor's lack of total experience in the make and model of the accident airplane.",1,0,0,0,0,0,0,0,0
"The flight instructors and commercial pilots failure to see and avoid the other airplane, which resulted in a collision during cruise flight. Contributing to the accident was the failure of the flight instructor of the other airplane to activate the transponder before departure, which resulted in no traffic advisories being issued before the collision.",1,0,0,0,0,0,0,0,0
"The flight instructors and pilots mismanagement of the available fuel, which resulted in exhaustion of the fuel in the selected fuel tank and a subsequent total loss of engine power.",1,0,1,0,0,0,0,0,0
The flight instructors and student pilots failure to ensure that the landing gear was extended before landing.,1,0,0,0,0,0,0,0,0
"The flight instructors and the pilots failure to maintain airspeed after a partial loss of engine power after takeoff for reasons that could not be determined during postaccident examination, which resulted in an aerodynamic stall and loss of airplane control. Contributing to the accident were the pilots decisions to operate the airplane above its maximum allowable gross weight and to perform an intersection takeoff.",1,0,1,0,0,0,0,0,0
"The flight instructors delayed aborted takeoff on a soft, wet, grass runway, which resulted in a runway overrun.
",0,0,0,0,1,0,0,0,0
"The flight instructors delayed decision to abort the simulated engine out maneuver, his failure to unfeather the propeller before restoring engine power, and his inadequate airspeed management, which led to an aerodynamic stall at low altitude.",0,0,1,0,0,0,0,0,0
"The flight instructors delayed remedial action and failure to maintain directional control during a crosswind landing, which resulted in a runway excursion.",0,0,0,0,1,0,0,0,0
"The flight instructors delayed remedial action and his subsequent loss of directional control during landing on a wet runway for reasons that could not be determined because postaccident examination of the airplane revealed no anomalies. 
",0,0,0,0,1,0,0,0,0
"The flight instructors delayed remedial action during the approach for landing, which resulted in impact with terrain short of the runway threshold. Contributing to the accident was the student pilots failure to maintain an appropriate descent rate during the approach for landing.
",1,0,0,0,1,0,0,0,0
"The flight instructors delayed remedial action to correct the student pilots use of an excessive descent rate during a practice autorotation, which resulted in a hard landing.",1,0,0,0,0,0,0,0,0
"The flight instructors delayed remedial action to prevent the airplane from hitting the hangar door. Contributing to the accident was the student pilot's misuse of the airplane's throttle, and his incorrect use of the wheel brakes.",1,0,0,0,0,0,0,0,0
The flight instructors delayed remedial action to the student pilots bounced landing and subsequent loss of aircraft control.,1,0,0,0,0,0,0,0,0
"The flight instructors delayed remedial action, which resulted in an unstabilized approach and collision with runway approach lights.
",0,0,0,0,1,0,0,0,0
"The flight instructors delayed remedial action, which resulted in his failure to maintain directional control during a go-around and a runway excursion. 
",0,0,0,0,1,0,0,0,0
"The flight instructors delayed response in correcting the student pilots improper landing flare, which resulted in a hard landing.",1,0,0,0,0,0,0,0,0
The flight instructors failure to adequately correct for a loss of directional control during a simulated single engine approach. ,0,0,1,0,0,0,0,0,0
"The flight instructors failure to adequately monitor the pilot flying, which resulted in a nose-wheel first hard landing. 
",1,0,0,0,0,0,0,0,0
The flight instructors failure to adequately monitor the student pilot which resulted in an impact with terrain and a nose-over. ,1,0,0,0,0,0,0,0,0
"The flight instructors failure to adequately supervise the student pilot and his decision to conduct training in an airplane without dual brakes, which resulted in the student pilots loss of directional control during initial taxi and subsequent impact with another airplane. ",1,0,0,0,0,0,0,0,0
"The flight instructors failure to comply with published engine-out procedures and recommended airspeeds, which resulted in a lack of directional control, collision with trees, and impact with the ground; the left engine lost total power due to fuel starvation.   ",0,0,1,0,0,0,0,0,0
"The flight instructors failure to confirm the position of the left engines auxiliary fuel boost pump switch during a simulated engine out procedure, which resulted in an excess amount of fuel in the engine and subsequent partial loss of power during a go-around/rejected landing. Contributing to the accident was the flight instructors failure to maintain control of the airplane, which resulted in a hard landing.  ",0,0,1,0,0,0,0,0,0
"The flight instructors failure to ensure the radio was set correctly to activate the pilot-controlled lighting, which resulted in poor positioning for a proper landing and a subsequent off-runway forced landing during an attempted go-around. Contributing to the accident was a partial loss of engine power due to carburetor ice.",1,0,1,0,1,0,0,0,0
"The flight instructors failure to follow the proper procedure while demonstrating a practice autorotation, which resulted in a total loss of engine power and subsequent hard landing.",0,0,1,0,0,0,0,0,0
"The flight instructors failure to maintain a proper descent rate during a simulated engine failure, which resulted in a bounced landing. 
",0,0,1,0,0,0,0,0,0
"The flight instructors failure to maintain adequate glidepath and airspeed control during short final approach and the airplanes improper touchdown point, which resulted in a runway overrun.",0,0,0,0,1,0,0,0,0
The flight instructors failure to maintain airplane control during a landing on a snow-covered runway.,0,0,0,0,1,0,0,0,0
"The flight instructors failure to maintain airspeed during an approach with a simulated engine failure, which resulted in an exceedance of the wings critical angle-of-attack and a subsequent aerodynamic stall/spin.",0,0,1,0,0,0,0,0,0
"The flight instructors failure to maintain awareness while parked on the ramp with the engine operating, which resulted in impact with another parked airplane.",0,0,1,0,0,0,0,0,0
The flight instructors failure to maintain clearance from the propeller when exiting the airplane. Contributing to the accident were the instructors decision not to shut down the engine before exiting the airplane and the operators lack of a policy prohibiting any person from entering or exiting an airplane with its engine operating.,0,0,1,0,0,0,0,0,0
"The flight instructors failure to maintain directional control during the landing roll and lateral control during the go-around in gusting crosswind conditions. Contributing to the accident was the lack of communication between the flight instructor and the pilot receiving instruction. 
",1,0,0,0,0,0,0,0,0
"The flight instructors failure to review the notices to airmen related to the airport, which resulted in his landing on a closed runway and the airplane striking runway closed markers. 
",0,0,0,0,1,0,0,0,0
"The flight instructors failure to tell the student pilot to abort the takeoff after the powered parachute experienced wing oscillations, which resulted in the student pilots loss of aircraft control during initial climb and subsequent impact with terrain. Contributing to the accident was the flight instructor's decision to conduct training in a powered parachute without dual flight controls.",1,0,0,0,0,0,0,0,0
"The flight instructors failure to use carburetor heat during the approach while operating in atmospheric conditions that were conducive to carburetor icing, which resulted in a loss of engine power due to carburetor icing.",0,0,1,0,0,0,0,0,0
"The flight instructors failure to use carburetor heat, which resulted in the total loss of engine power due to carburetor icing.
",0,0,1,0,0,0,0,0,0
"The flight instructors failure to verify that the left engine was operational, which resulted in insufficient engine power being available during an attempted go-around and his subsequent loss of airplane control. Contributing to the accident was the instructor's inadequate monitoring of the approach, which led to his failure to notice that the airplane was lined up with a taxiway and necessitated the go-around. 
",0,0,1,0,0,0,0,0,0
"The flight instructors improper decision to depart on a local instructional flight in rapidly deteriorating weather conditions, including thunderstorms and hail, which resulted in subsequent impact with terrain during a go-around. ",0,0,0,1,0,0,0,0,0
"The flight instructors improper fuel management, which resulted in a loss of engine power due to fuel starvation.",0,0,1,0,0,0,0,0,0
"The flight instructors improper soft field landing technique while landing on a turf runway, which resulted in a nose over. ",0,0,0,0,1,0,0,0,0
"The flight instructors inadequate communication with the pilot under review about his intention to simulate a single-engine failure and his subsequent exceedance of the airplanes critical angle of attack when the pilot did not respond as expected, which resulted in an aerodynamic stall at low altitude.",1,0,1,0,0,0,0,0,0
"The flight instructors inadequate in-flight fuel management, which resulted in fuel starvation and a total loss of engine power.
 ",0,0,1,0,0,0,0,0,0
"The flight instructors inadequate preflight fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.",0,0,1,0,0,0,0,0,0
"The flight instructors inadequate preflight fuel planning, which resulted in fuel exhaustion, a total loss of power to both engines, and a subsequent forced landing. ",0,0,1,0,0,0,0,0,0
"The flight instructors inadequate preflight inspection in which he incorrectly estimated the airplanes fuel quantity and his improper reliance on the fuel totalizer rather than the fuel quantity indicating and warning systems to determine the fuel on board, which resulted in a total loss of engine power due to fuel exhaustion. ",0,0,1,0,0,0,0,0,0
"The flight instructors inadequate preflight inspection, during which he failed to ensure that water was sufficiently drained from the fuel system, which resulted in total loss of engine power and a subsequent forced landing and impact with objects.  ",0,0,1,0,0,0,0,0,0
"The flight instructors inadequate remedial action following the student pilots loss of directional control during landing, which resulted in a runway excursion and subsequent nose over.",1,0,0,0,1,0,0,0,0
The flight instructors inadequate remedial action. Contributing to the accident was the student pilots poor control of the airplane during the approach. ,1,0,0,0,0,0,0,0,0
"The flight instructors inadequate remedial actions following the student pilots improper control inputs, which resulted in dynamic rollover.",1,0,0,0,0,0,0,0,0
"The flight instructors inadequate supervision and delayed remedial action during a simulated engine-out procedure, which resulted in a hard landing.",0,0,1,0,0,0,0,0,0
"The flight instructors inadequate supervision of the student pilot and the student pilots loss of directional control during landing, which resulted in a runway excursion. 
",1,0,0,0,1,0,0,0,0
"The flight instructors inadequate supervision of the student pilots entry into the autorotation, which resulted in a hard landing. Contributing to the accident was the loss of engine power as a result of the student pilot rapidly lowering the helicopters collective and the partly obstructed air filter.",1,0,1,0,0,0,0,0,0
"The flight instructors inadequate supervision of the student pilots power management, which resulted in a hard landing. Contributing to the accident was the student pilot's premature power reduction during the landing flare.",1,0,0,0,0,0,0,0,0
"The flight instructors inadvertent entry into ground resonance when demonstrating a hydraulic failure running landing, which resulted in substantial damage to the helicopter. Contributing to the accident was the pilot's and instructor pilot's failure to control the drift and rate of descent during the practice maneuvers.",1,0,0,0,0,0,0,0,0
"The flight instructors incapacitation due to preexisting but unrecognized coronary disease, and the student pilots distraction and inability to recover the airplane from a stall/spin at low altitude.",1,0,0,0,0,0,0,0,0
"The flight instructors incorrect compensation for the gusting crosswind during the landing roll, which resulted in a loss of directional control and runway excursion.
",0,0,0,0,1,0,0,0,0
"The flight instructors incorrect control inputs while taking off with a known quartering tailwind, which resulted in a loss of directional control and runway excursion.
",0,0,0,0,1,0,0,0,0
"The flight instructors incorrect use of the landing gear system and his and the pilots failure to ensure that the landing gear was extended, which resulted in a gear-up landing. Contributing to the accident was the flight instructors unfamiliarity with the airplane.",1,0,0,0,0,0,0,0,0
"The flight instructors initiation of a simulated single engine scenario at or below the airplanes minimum single engine control speed, resulting in a loss of airplane control. Contributing to the accident was the flight instructors failure to set full engine power during the takeoff roll and the flight instructors lack of recent experience in the airplane make and model.",0,0,1,0,0,0,0,0,0
"The flight instructors loss of airplane control during an aborted landing due to a wind shift, which resulted in an impact with a runway sign.",0,0,0,0,1,0,0,0,0
The flight instructors loss of directional control during an attempted go-around with a crosswind. Contributing to the accident was the loss of engine power for reasons that could not be determined during examination of the engine.,0,0,1,0,0,0,0,0,0
"The flight instructors loss of directional control during landing, which resulted in a collision with a runway light.",0,0,0,0,1,0,0,0,0
"The flight instructors overpriming of the engine during multiple unsuccessful engine start attempts on an active runway, which resulted in an engine compartment fire.",0,0,1,0,1,0,0,0,0
The flight's continued operation through an area containing substantial convective weather activity. Contributing to the accident was the air traffic control/traffic management unit's lack of awareness and recognition of the effect of weather movement on the departure route in use and the flight crew's acceptance of a route and limited weather deviation that was inadequate to maintain a safe distance from the thunderstorms in the area.,0,1,0,1,0,0,0,0,0
